A Little Chat|Conversinha
Bloodstained Mire|Lamaçal Ensanguentado
Bloodstoke Howler|Uivador Ferve-Sangue
Bloodstone Cameo|Camafeu de Jaspe Vermelho
Bloodstone Goblin|Goblin do Jaspe Vermelho
Bloodsworn Steward|Intendente Venijurada
Bloodtallow Candle|Vela de Sanguinossebo
Bloodthirster|Sedento de Sangue
Bloodthirsty Adversary|Adversária Sanguinária
Bloodthirsty Aerialist|Trapezista Sanguinária
Bloodthirsty Blade|Lâmina Sedenta de Sangue
Bloodthirsty Ogre|Ogre Sanguinário
Bloodthorn Taunter|Provocadora do Espinho Sanguinário
Bloodthrone Vampire|Vampiro do Sangue Real
Bloodtithe Collector|Coletora do Dízimo de Sangue
Bloodtithe Harvester|Coletor do Dízimo de Sangue
Bloodtracker|Hemorrastreador
Bloodvial Purveyor|Fornecedor de Frascos de Sangue
Bloodwater Entity|Entidade da Água Sangrenta
Bloody Betrayal|Traição Sangrenta
Bloom Hulk|Brutamontes Florescente
Bloom Tender|Guardiã da Florescência
Blooming Marsh|Charco Florescente
Blossom Dryad|Dríade do Florescimento
Blossom Prancer|Cervo Florido
Blossoming Bogbeast|Fera-do-pântano Florescente
Blossoming Calm|Calma Florescente
Blossoming Defense|Defesa Florescente
Blossoming Sands|Areias Verdejantes
Blossoming Wreath|Grinalda Florida
Blot Out the Sky|Apagar o Céu
Blot Out|Obscurecer
Blow Your House Down|Soprar Sua Casa
Blowfly Infestation|Infestação de Mosca-Varejeira
Bludgeon Brawl|Pancadaria
Blue Dragon|Dragão Azul
Blue Elemental Blast|Maldição do Elemental Azul
Blue Mana Battery|Bateria de Mana Azul
Blue Scarab|Escaravelho Azul
Blue Sun's Twilight|Crepúsculo do Sol Azul
Blue Sun's Zenith|Zênite do Sol Azul
Blue Ward|Defesa Azul
Blunt the Assault|Amenizar o Ataque
Blur Sliver|Fractius do Borrão
Blur of Blades|Borrão de Lâminas
Blurred Mongoose|Mangusto Manchado
Blur|Turvar
Blustersquall|Rajada Tempestuosa
Boa Constrictor|Boa Constrictor
Boar Umbra|Sombra de Javali
Board the Weatherlight|Embarcar no Bons Ventos
Boarded Window|Janela Barrada
Boarding Party|Grupo de Abordagem
Boartusk Liege|Soberano Dente-de-Javali
Body Double|Dublê de Corpo
Body Dropper|Deita-corpo
Body Launderer|Eliminador de Cadáveres
Body Snatcher|Ladrão de Corpos
Body of Jukai|Corpo de Jukai
Body of Knowledge|Corpo do Conhecimento
Body of Research|Corpo de Pesquisa
Bog Badger|Texugo do Charco
Bog Down|Atolar
Bog Elemental|Elemental do Pântano
Bog Glider|Planador dos Pântanos
Bog Gnarr|Gnarr do Pântano
Bog Hoodlums|Brigões da Palude
Bog Imp|Diabrete do Pântano
Bog Initiate|Iniciado do Pântano
Bog Naughty|Traquinas do Pântano
Bog Raiders|Salteadores de Pântano
Bog Rats|Ratos do Pântano
Bog Serpent|Serpente do Pântano
Bog Smugglers|Contrabandistas do Pântano
Bog Tatters|Farrapos do Pântano
Bog Witch|Bruxo do Pântano
Bog Wraith|Aparição do Pântano
Bog Wreckage|Destroços no Pântano
Bog-Strider Ash|Freixo Andarilho de Palude
Bogardan Dragonheart|Coração Dracônico de Bogardan
Bogardan Firefiend|Flamidemo de Bogardan
Bogardan Hellkite|Dragão Avérneo de Bogardan
Bogardan Lancer|Lanceiro de Bogardan
Bogardan Phoenix|Fênix de Bogardan
Bogardan Rager|Raivoso de Bogardan
Bogbrew Witch|Bruxa da Poção Pantanosa
Boggart Arsonists|Pirômanos Papões
Boggart Birth Rite|Rito de Nascimento Papão
Boggart Brute|Papão Brutamontes
Boggart Forager|Explorador Papão
Boggart Harbinger|Anunciador Papão
Boggart Loggers|Lenhadores Papões
Boggart Mob|Turba de Papões
Boggart Ram-Gang|Gangue do Aríete Papão
Boggart Shenanigans|Peripécias dos Papões
Boggart Sprite-Chaser|Papão Caça-Sílfide
Bogstomper|Calca-pântano
Boiling Blood|Sangue Fervente
Boiling Earth|Terra Fervente
Boiling Seas|Mares Fervilhantes
Boil|Ferver
Bojuka Bog|Pântano de Bojuka
Bojuka Brigand|Bandido de Bojuka
Bola Slinger|Lançadora de Boleadeira
Bola Warrior|Guerreiro de Boleadeira
Bolas's Citadel|Cidadela de Nicol Bolas
Bold Defense|Defesa Destemida
Bold Impaler|Empalador Ousado
Bold Plagiarist|Plagiadora Ousada
Boldwyr Heavyweights|Pesos Pesados de Boldwyr
Boldwyr Intimidator|Intimidador de Boldwyr
Bolrac-Clan Crusher|Esmagador do Clã Bolrac
Bolt Bend|Envergamento de Raio
Bolt Hound|Sabujo dos Raios
Bolt of Keranos|Raio de Queranos
Boltwing Marauder|Saqueador Asa de Raio
Bomat Bazaar Barge|Barca do Bazar de Bomat
Bomat Courier|Mensageiro de Bomat
Bomb Squad|Esquadrão de Bombas
Bombadil's Song|Canção de Bombadil
Bombard|Bombardear
Bomber Corps|Esquadrão de Bombardeiros
Bond Beetle|Besouro da União
Bond of Agony|Elo de Agonia
Bond of Discipline|Elo de Disciplina
Bond of Flourishing|Elo do Florescimento
Bond of Insight|Elo da Visão
Bond of Passion|Elo da Paixão
Bond of Revival|Elo do Reviver
Bonded Construct|Constructo Vinculado
Bonded Fetch|Busca Amarrada
Bonded Horncrest|Cristocórneo Selado
Bonder's Ornament|Ornamento dos Vinculadores
Bonders' Enclave|Enclave dos Vinculadores
Bonds of Faith|Laços de Fé
Bonds of Mortality|Amarras da Mortalidade
Bonds of Quicksilver|Laços de Mercúrio
Bone Dancer|Dançarino de Ossos
Bone Dragon|Dragão de Ossos
Bone Harvest|Colheita de Ossos
Bone Mask|Máscara de Ossos
Bone Miser|Avarento dos Ossos
Bone Picker|Pega-ossos
Bone Pit Brute|Bruto do Poço dos Ossos
Bone Sabres|Sabres Ósseos
Bone Saw|Serra Óssea
Bone Shaman|Xamã dos Ossos
Bone Shards|Fragmentos Ósseos
Bone Shredder|Triturador de Ossos
Bone Splinters|Estacas Ósseas
Bone to Ash|De Ossos a Cinzas
Bonebreaker Giant|Gigante Quebra-ossos
Bonecaller Cleric|Clériga Convocadora de Ossos
Boneclad Necromancer|Necromante da Veste Óssea
Bonecrusher Giant|Gigante Esmaga-ossos
Bonehoard|Aglomerado de Ossos
Boneknitter|Cola-Ossos
Bonepicker Skirge|Eskirge Pegaosso
Bonescythe Sliver|Fractius Ossos-de-foice
Boneshard Slasher|Flagelo Ossífrago
Bonesplitter Sliver|Fractius Lasca-Ossos
Bonesplitter|Lasca-Ossos
Bonethorn Valesk|Valesk Espinhósseo
Boneyard Lurker|Espreitador do Ossário
Boneyard Mycodrax|Micopólipo do Ossário
Boneyard Parley|Negociação no Ossário
Boneyard Scourge|Flagelo do Ossário
Boneyard Wurm|Vorme do Ossário
Bonfire of the Damned|Fogueira dos Malditos
Bontu the Glorified|Bontu, a Glorificada
Bontu's Last Reckoning|Última Sentença de Bontu
Bontu's Monument|Monumento de Bontu
Booby Trap|Armadilha Escondida
Book Burning|Queima de Livros
Book Devourer|Devorador de Livros
Book of Mazarbul|Livro de Mazarbul
Bookwurm|Traça-vorme
Boomerang|Bumerangue
Boompile|Monte de Bum
Boom|Boom
Boon Reflection|Reflexo de Dádiva
Boon Satyr|Sátiro Abençoado
Boon of Boseiju|Dádiva de Boseiju
Boon of Emrakul|Dádiva de Emrakul
Boon of Erebos|Bênção de Érebo
Boon of Safety|Dádiva da Segurança
Boon of the Wish-Giver|Dádiva da Realizadora de Desejos
Boon-Bringer Valkyrie|Valquíria Portadora das Dádivas
Boonweaver Giant|Gigante Tecedor de Dádivas
Boot Nipper|Belisca-botas
Bootleggers' Stash|Estoque do Contrabandista
Boots of Speed|Botas da Velocidade
Borborygmos Enraged|Borborigmo Enfurecido
Borborygmos and Fblthp|Borborigmo e Fblthp
Borborygmos|Borborigmo
Border Patrol|Patrulha da Fronteira
Borderland Behemoth|Behemoth da Fronteira
Borderland Explorer|Explorador da Fronteira
Borderland Marauder|Saqueador da Fronteira
Borderland Minotaur|Minotauro da Fronteira
Borderland Ranger|Patrulheiro de Fronteira
Boreal Centaur|Centauro Boreal
Boreal Druid|Druida Boreal
Boreal Elemental|Elemental Boreal
Boreal Griffin|Grifo Boreal
Boreal Outrider|Vanguardeira Boreal
Boreal Shelf|Recife Boreal
Boreas Charger|Corcel de Bóreas
Born to Drive|Nascer para Pilotar
Borne Upon a Wind|Carregado pelo Vento
Boromir, Gondor's Hope|Boromir, Esperança de Gondor
Boromir, Warden of the Tower|Boromir, Guardião da Torre
Boros Battleshaper|
Boros Challenger|Desafiante Boros
Boros Charm|Amuleto Boros
Boros Cluestone|
Boros Elite|Elite Boros
Boros Fury-Shield|Escudo de Fúria Boros
Boros Garrison|Guarnição Boros
Boros Guildgate|Portão da Guilda Boros
Boros Guildmage|Maga da Guilda Boros
Boros Keyrune|Chave Rúnica Boros
Boros Locket|Medalhão Boros
Boros Mastiff|
Boros Reckoner|Víndice dos Boros
Boros Recruit|Recruta Boros
Boros Signet|Sinete Boros
Boros Swiftblade|Espada Veloz Boros
Borrowed Grace|Graça Emprestada
Borrowed Hostility|Hostilidade Emprestada
Borrowed Malevolence|Malevolência Emprestada
Borrowed Time|Tempo Extra
Bortuk Bonerattle|Bortuk Chocalho de Ossos
Boseiju, Who Endures|Boseiju, a Persistente
Boseiju, Who Shelters All|Boseiju, O Que Tudo Protege
Bosh, Iron Golem|Bosh, Golem de Ferro
Bosk Banneret|Alferes do Bosque
Botanical Brawler|Brigão Botânico
Botanical Plaza|Praça Botânica
Botanical Sanctum|Santuário Botânico
Bothersome Quasit|Quasit Inconveniente
Bottle Gnomes|Gnomos de Garrafa
Bottle Golems|Golens de Garrafa
Bottle of Suleiman|Garrafa de Suleiman
Bottled Cloister|Mosteiro Engarrafado
Bottomless Pit|Poco sem Fundo
Bottomless Vault|Cripta Sem Fundo
Boulder Rush|Carga do Pedregulho
Boulder Salvo|Salva de Pedregulhos
Boulderbranch Golem|Golem Pedragalho
Boulderfall|Queda-de-pedra
Boulderloft Pathway|Trilha das Pedras Altas
Bouncer's Beatdown|Surra do Leão de Chácara
Bouncing Beebles|Bimbos Saltitantes
Bound by Moonsilver|Preso com Prata Lunar
Bound in Gold|Preso com Ouro
Bound in Silence|Prisioneiro do Silêncio
Bounding Krasis|Krasis Saltador
Bounding Wolf|Lobo Saltador
Boundless Realms|Territórios Ilimitados
Bound|Bound
Bounteous Kirin|Kirin Generoso
Bountiful Harvest|Colheita Abundante
Bountiful Promenade|Alameda da Abundância
Bounty Agent|Agente de Recompensas
Bounty Hunter|Caçador de Prêmios
Bounty of Might|Dádiva do Poder
Bounty of Skemfar|Dádiva de Skemfar
Bounty of the Hunt|Recompensa da Caçada
Bounty of the Luxa|Dádiva do Luxa
Bow of Nylea|Arco de Niléia
Bower Passage|Passagem Umbrosa
Boxing Ring|Ringue de Boxe
Brace for Impact|Preparar para Impacto
Brackish Trudge|Rojo Salobro
Brackwater Elemental|Elemental da Água Salobre
Brago, King Eternal|Brago, Rei Eterno
Braid of Fire|Trançado de Fogo
Braids's Frightful Return|O Assustador Retorno de Braids
Braids, Arisen Nightmare|Braids, Pesadelo Desperto
Braids, Cabal Minion|Braids, Assecla da Cabala
Braids, Conjurer Adept|Braids, Adepta da Conjuração
Braidwood Cup|Taça de Braidwood
Braidwood Sextant|Sextante de Braidwood
Brain Freeze|Congelamento Cerebral
Brain Gorgers|Devoradores de Cérebro
Brain Maggot|Verme Cerebral
Brain Pry|Usurpação Cerebral
Brain Weevil|Gorgulho Cerebral
Brain in a Jar|Cérebro no Jarro
Brainbite|Mordida Cerebral
Brainspoil|Desintegrador de Cérebros
Brainstealer Dragon|Dragão Ladrão de Cérebros
Brainstone|Pedra Cerebral
Brainstorm|Tempestade Cerebral
Brainwash|Lavagem Cerebral
Brallin, Skyshark Rider|Brallin, Ginete de Tubarão-celeste
Bramble Armor|Armadura de Espinheiro
Bramble Creeper|Liana Lenhosa
Bramble Elemental|Elemental Espinhoso
Bramble Sovereign|Soberana do Espinheiro
Bramble Wurm|Vorme do Espinheiro
Bramblecrush|Pancada Botânica
Bramblefort Fink|Delator de Fortespinho
Bramblesnap|Mordisqueira
Brambleweft Behemoth|Behemoth Espinheiro
Bramblewood Paragon|Paradigma da Floresta de Arbustos
Branchblight Stalker|Espreitadora Praga dos Galhos
Branching Bolt|Raio Divisor
Branchloft Pathway|Trilha dos Galhos Altos
Branchsnap Lorian|Lóris Quebra-Galhos
Brand of Ill Omen|Estigma do Infortúnio
Branded Brawlers|Rufiões Marcados
Branded Howler|Uivador Marcado
Brandywine Farmer|Fazendeira do Brandevin
Brand|Marca
Brash Taunter|Provocador Petulante
Brass Gnat|Mosquito de Bronze
Brass Herald|Arauto de Bronze
Brass Knuckles|Soqueira Flamejante
Brass Man|Homem de Bronze
Brass Secretary|Secretário de Bronze
Brass Squire|Escudeiro de Bronze
Brass's Bounty|Recompensa de Bronze
Brass-Talon Chimera|Quimera de Garras de Bronze
Brassclaw Orcs|Orcs da Garra de Bronze
Bravado|Bravata
Brave the Elements|Enfrentar os Elementos
Brave the Sands|Resistir às Areias
Brawl-Bash Ogre|Ogro Briguento
Brawler's Plate|Armadura de Rufião
Brawl|Briga
Brawn|Músculos
Brazen Borrower|Caloteiro Descarado
Brazen Buccaneers|Bucaneiros Brônzeos
Brazen Dwarf|Anão Brônzeo
Brazen Freebooter|Filibusteira Brônzea
Brazen Scourge|Praga Insolente
Brazen Upstart|Novato Descarado
Brazen Wolves|Lobos Intrépidos
Breach the Multiverse|Invadir o Multiverso
Breaching Hippocamp|Hipocampo Saltador
Breach|Brecha
Break Asunder|Esmigalhar
Break Open|Arrebentar
Break Through the Line|Romper as Fileiras
Break Ties|Romper Laços
Break of Day|Raiar do Dia
Break the Ice|Quebrar o Gelo
Breaker of Armies|Subjugador de Exércitos
Breaking Point|Ponto de Ruptura
Breaking Wave|Onda de Rebentação
Breaking of the Fellowship|Separação da Sociedade
Breakneck Berserker|Amoque Quebra-pescoço
Breakneck Rider|Ginete de Quebra-pescoço
Breakthrough|Brecha
Breath Weapon|Arma de Sopro
Breath of Darigaaz|Bafo de Darigaaz
Breath of Dreams|Alento dos Sonhos
Breath of Fury|Bafo de Fúria
Breath of Life|Sopro de Vida
Breath of Malfegor|Bafo de Malfegor
Breath of the Sleepless|Alento dos Insones
Breathkeeper Seraph|Serafim Guardiã dos Alentos
Breathless Knight|Cavaleiro Sem Alento
Breathstealer's Crypt|Cripta do Ladrão de Fôlego
Breathstealer|Ladrão de Fôlego
Bred for the Hunt|Criado para a Caça
Breeches, Brazen Plunderer|Bermuda, Saqueador Brônzeo
Breeding Pit|Poço de Procriação
Breeding Pool|Charco da Procriação
Breena, the Demagogue|Brenna, a Demagoga
Breezekeeper|Guardabrisa
Bretagard Stronghold|Fortaleza de Bretagard
Breya's Apprentice|Aprendiz de Breya
Breya, Etherium Shaper|Breya, Moldadora de Etherium
Briar Hydra|Hidra das Sarças
Briar Patch|Arbusto de Urze
Briar Shield|Escudo de Urze
Briarberry Cohort|Coorte de Briarberry
Briarblade Adept|Adepto da Silvolâmina
Briarbridge Patrol|Patrulheiro de Pontespinho
Briarbridge Tracker|Rastreadora de Pontespinho
Briarhorn|Urze Cornuda
Briarknit Kami|Kami de Urze-branca
Briarpack Alpha|Alfa da Alcateia dos Espinhos
Briber's Purse|Bolsa do Subornador
Bribery|Suborno
Bride's Gown|Vestido da Noiva
Bridge from Below|Ponte das Profundezas
Bright Reprisal|Represália Fulgurante
Bright-Palm, Soul Awakener|Palma-brilhante, Despertadora de Almas
Brightclimb Pathway|Trilha da Encosta Luminosa
Brightflame|Chama de Luz
Brighthearth Banneret|Alferes de Lareiluz
Brightstone Ritual|Ritual da Pedraluz
Brightwood Tracker|Rastreadora da Matalume
Brigid, Hero of Kinsbaile|Brigite, Heroína de Kinsbaile
Brilliant Halo|Halo Brilhante
Brilliant Restoration|Restauração Brilhante
Brilliant Spectrum|Espectro Brilhante
Brilliant Ultimatum|Ultimato Brilhante
Brimaz, Blight of Oreskos|Brimaz, Praga de Oreskos
Brimaz, King of Oreskos|Brimaz, Rei de Oreskos
Brimstone Dragon|
Brimstone Mage|Mago do Enxofre
Brimstone Trebuchet|Trabuco de Enxofre
Brimstone Vandal|Vândalo do Enxofre
Brimstone Volley|Salva de Enxofre
Brindle Boar|Javali Malhado
Brine Elemental|Elemental de Salmoura
Brine Giant|Gigante da Salmoura
Brine Seer|Vidente do Oceano
Brine Shaman|Xamã do Oceano
Brinebarrow Intruder|Intrusa do Cemitério Salino
Brineborn Cutthroat|Degolador Salmourígeno
Brinelin, the Moon Kraken|Salmouríneo, o Kraken Lunar
Bring Back|Trazer de Volta
Bring Low|Levar ao Chão
Bring the Ending|Trazer o Fim
Bring to Life|Trazer à Vida
Bring to Light|Trazer à Luz
Bring to Trial|Levar a Julgamento
Bringer of the Black Dawn|Portador da Aurora Preta
Bringer of the Blue Dawn|Portador da Aurora Azul
Bringer of the Green Dawn|Portador da Aurora Verde
Bringer of the Red Dawn|Portador da Aurora Vermelha
Bringer of the White Dawn|Portador da Aurora Branca
Brink of Disaster|Beira do Desastre
Brink of Madness|À Beira da Loucura
Brion Stoutarm|Brion Braço D'Aço
Brisela, Voice of Nightmares|Brisela, Voz dos Pesadelos
Bristling Boar|Javali Eriçado
Bristling Hydra|Hidra Eriçada
Brittle Effigy|Efígie Frágil
Broken Ambitions|Ambições Perdidas
Broken Bond|Vínculo Quebrado
Broken Concentration|Concentração Quebrada
Broken Fall|Queda Atenuada
Broken Visage|Imagem Estilhaçada
Broken Wings|Asas Quebradas
Brokers Ascendancy|Domínio dos Mediadores
Brokers Charm|Amuleto dos Mediadores
Brokers Hideout|Esconderijo dos Mediadores
Brokers Initiate|Iniciada dos Mediadores
Brokers Veteran|Veterano dos Mediadores
Brokkos, Apex of Forever|Brokkos, Ápice da Eternidade
Brontotherium|Brontotherium
Bronze Bombshell|Bomba de Bronze
Bronze Cudgels|Clavas de Bronze
Bronze Guardian|Guardião de Bronze
Bronze Sable|Zibelina de Bronze
Bronze Sword|Espada de Bronze
Bronze Walrus|Morsa de Bronze
Bronzebeak Moa|
Bronzehide Lion|Leão-de-pele-brônzea
Bronzeplate Boar|Javali Armadura-de-bronze
Brood Birthing|Nascimento da Ninhada
Brood Butcher|Carniceiro da Prole
Brood Keeper|Ama da Ninhada
Brood Monitor|Monitorador da Prole
Brood Sliver|Fractius da Ninhada
Brood Weaver|Tecelã da Prole
Brood of Cockroaches|Ninhada de Baratas
Broodhatch Nantuko|Nantuko Choca-Ninhadas
Broodhunter Wurm|Vorme Caçador da Prole
Brooding Saurian|Sáurio Chocadeiro
Broodlord|Senhor da Prole
Broodmate Dragon|Dragão Irmão da Ninhada
Broodstar|Estrela Flutuante
Broodwarden|Guardião de Ninhada
Brotherhood's End|Fim da Fraternidade
Brothers of Fire|Irmãos do Fogo
Brought Back|De Volta à Vida
Browbeat|Intimidar
Brown Ouphe|Trasgo Marrom
Browse|Folhear
Brudiclad, Telchor Engineer|Brudiclad, Engenheiro Telchoriano
Bruenor Battlehammer|Bruenor Martelo de Batalha
Bruna, Light of Alabaster|Bruna, Luz do Bando Alabastro
Bruna, the Fading Light|Bruna, a Luz Desvanecente
Bruse Tarl, Boorish Herder|Bruse Tarl, Pastor Rústico
Brush with Death|Encontro com a Morte
Brushfire Elemental|Elemental das Queimadas
Brushland|Macegal
Brushstrider|Salta-mato
Brushwagg|Tojo
Brutal Deceiver|Impostor Brutal
Brutal Expulsion|Expulsão Brutal
Brutal Hordechief|Chefe de Horda Brutal
Brutal Nightstalker|
Brutal Suppression|Supressão Brutal
Brutalizer Exarch|Exarca Brutalizador
Brute Force|Força Bruta
Brute Strength|Força Imensa
Brute Suit|Traje Bruto
Bubble Matrix|Matriz de Bolhas
Bubble Snare|Armadilha de Bolhas
Bubbling Beebles|Bimbos Borbulhantes
Bubbling Cauldron|Caldeirão Borbulhante
Bubbling Muck|Lodo Borbulhante
Buccaneer's Bravado|Bravata da Bucaneira
Bucknard's Everfull Purse|Bolsa Semprecheia de Bucknard
Builder's Bane|Maldição do Construtor
Builder's Blessing|Bênção do Construtor
Built to Last|Feito para Durar
Built to Smash|Construído para Arrebentar
Bulette|Bulete
Bull Aurochs|Auroque Touro
Bull Cerodon|Touro Dentócero
Bull Elephant|Elefante Macho
Bull Hippo|Hipopótamo Macho
Bull Rush|Empurrão
Bull's Strength|Força do Touro
Bullwhip|Relho
Bulwark Giant|Gigante Baluarte
Bulwark|Baluarte
Bump in the Night|Barulho na Noite
Buoyancy|Flutuabilidade
Burakos, Party Leader|Burakos, Líder de Grupo
Burden of Greed|Fardo da Cobiça
Burden of Guilt|Fardo da Culpa
Burdened Aerialist|Aerialista com Lastro
Burgeoning|Brotamento
Burglar Rat|Rato Ladrão
Buried Alive|Enterrado Vivo
Buried Ruin|Ruína Enterrada
Burlfist Oak|Carvalho Punho Nodoso
